# CEOs of various companies
# 
# The start and end dates are of the form YYYY or YYYY-MM or YYYY-MM-DD
# depending on the information is available.
ticker, company, ceo, website, start_date, end_date
AAPL,, Tim Cook, https://en.wikipedia.org/wiki/Tim_Cook,,
AVGO,, Hock E. Tan, , 2016-02-01,
BA, Boeing, Dennis Muilenburg, https://en.wikipedia.org/wiki/Dennis_Muilenburg, 2015-07-01,
BBBY, Bed Bath & Beyond Inc, Mark Tritton, , 2019-11-04, 2022-06-28
BBBY, Bed Bath & Beyond Inc, Sue Gove, , 2022-06-29,
BK, The Bank of New York Mellon, Charles Scharf, https://en.wikipedia.org/wiki/Charles_Scharf, 2017-07, 2019-09-26
BK, The Bank of New York Mellon, Thomas P. Gibbons, https://www.bnymellon.com/us/en/who-we-are/leadership/gibbons.jsp, 2019-09-27
BLK,, Larry Fink, https://en.wikipedia.org/wiki/Laurence_D._Fink,,
CVS, CVS Health Corp, Karen Lynch, , , 2024-10-16
CVS, CVS Health Corp, David Joyner, , 2024-10-17,
FB,, Mark Zuckerberg, https://en.wikipedia.org/wiki/Mark_Zuckerberg,,
GE,, John L. Flannery, https://en.wikipedia.org/wiki/John_L._Flannery, 2017-08, 2018-10
GE,, Larry Culp, https://en.wikipedia.org/wiki/H._Lawrence_Culp_Jr., 2018-10-01,
GOOGL, Google, Larry Page, https://en.wikipedia.org/wiki/Larry_Page, 1998, 2001
GOOGL, Google, Larry Page, https://en.wikipedia.org/wiki/Larry_Page, 2011-04, 2015-07
GOOG, Alphabet, Sundar Pichai, https://en.wikipedia.org/wiki/Sundar_Pichai, 2015-10-24, 
HOOD, Robinhood, Vlad Tenev, , ,
INTC,, Brian Krzanich, https://en.wikipedia.org/wiki/Brian_Krzanich, 2013-05, 2018-06
LOW,, Marvin Ellison, https://en.wikipedia.org/wiki/Marvin_Ellison, 2018-07-02,
MRNA, Moderna Inc.,Stéphane Bancel,,
MSFT,, Satya Nadella, https://en.wikipedia.org/wiki/Satya_Nadella,,
NMR,, Koji Nagai, https://en.wikipedia.org/wiki/Koji_Nagai,,
private, WeWork, Adam Neumann. https://en.wikipedia.org/wiki/Adam_Neumann, 2010,,
PXD,, Scott D. Sheffield, https://en.wikipedia.org/wiki/Scott_D._Sheffield, 1997, 2016
PXD,, Scott D. Sheffield, https://en.wikipedia.org/wiki/Scott_D._Sheffield, 2019-02,
QCOM,, Steven Mollenkopf,,,
SBUX,, Kevin Johnson, https://en.wikipedia.org/wiki/Kevin_Johnson_(executive), 2017-04-03,
TGT, Target Corp, Brian C. Cornell, https://en.wikipedia.org/wiki/Brian_Cornell, 2014-08, 2026-01-31
TGT, Target Corp, Michael Fiddelke, , 2026-02-01,
TMUS, T-Mobile, John Legere, https://en.wikipedia.org/wiki/John_Legere, 2012-09, 2020-04-30
TMUS, T-Mobile, Mike Sievert, , 2020-05-01, 
TSLA,, Elon Musk, https://en.wikipedia.org/wiki/Elon_Musk,,
UPS,, Carol Tome, https://en.wikipedia.org/wiki/Carol_Tom%C3%A9,,
VIRT, Virtu Financial, Doug Cifu, , ,
WFC, Wells Fargo & Company, Charles Scharf, https://en.wikipedia.org/wiki/Charles_Scharf, 2019-10-21, 
WMT, Walmart, Doug McMillon, https://en.wikipedia.org/wiki/Doug_McMillon, 2014-02, 2026-01-31
WMT, Walmart, John Furner, , 2026-02-01,
WU, Western Union Company, Devin McGranahan, , ,
, Vanguard, Salim Ramji, https://www.marketswiki.com/wiki/Salim_Ramji, 2024-07-08, 
