# For schema, see schema_2.txt
report_date,for,weeks,period_end_date,net_sales
2022-08-31,2022-08,4,2022-08-28,17.55
2022-10-05,2022-09,5,2022-10-02,21.46
2022-11-02,2022-10,4,2022-10-30,17.73
2022-11-30,2022-11,4,2022-11-27,19.17
2023-01-05,2022-12,5,2023-01-01,23.80
2023-02-01,2023-01,4,2023-01-29,16.84
2023-03-02,2023-02,4,2023-02-26,17.06
2023-04-05,2023-03,5,2023-04-02,21.71
2023-05-03,2023-04,4,2023-04-30,17.85
2023-06-01,2023-05,4,2023-05-28,18.45
2023-07-06,2023-06,5,2023-07-02,22.86
2023-08-02,2023-07,4,2023-07-30,17.60
2023-08-30,2023-08,4,2023-08-27,18.42
2023-10-04,2023-09,5,2023-10-01,22.75
2023-11-01,2023-10,4,2023-10-29,18.53
2023-11-29,2023-11,4,2023-11-26,20.14
2024-01-04,2023-12,5,2023-12-31,26.15
2024-02-07,2024-01,5,2024-02-04,22.08
2024-03-07,2024-02,4,2024-03-03,18.21
2024-04-10,2024-03,5,2024-04-07,23.48
2024-05-08,2024-04,4,2024-05-05,19.80
2024-06-05,2024-05,4,2024-06-02,19.64
2024-07-10,2024-06,5,2024-07-07,24.48
2024-08-07,2024-07,4,2024-08-04,19.26
2024-09-05,2024-08,4,2024-09-01,19.83
2024-10-09,2024-09,5,2024-10-06,24.62
2024-11-06,2024-10,4,2024-11-03,20.03
2024-12-04,2024-11,4,2024-12-01,21.87
2025-01-08,2024-12,5,2025-01-05,27.52
2025-02-05,2025-01,4,2025-02-02,19.51
2025-03-06,2025-02,4,2025-03-02,19.81
2025-04-09,2025-03,5,2025-04-06,25.51
2025-05-07,2025-04,4,2025-05-04,21.18
2025-06-04,2025-05,4,2025-06-01,20.97
2025-07-09,2025-06,5,2025-07-06,26.44
2025-08-06,2025-07,4,2025-08-03,20.89
2025-09-04,2025-08,4,2025-08-31,21.56
2025-10-08,2025-09,5,2025-10-05,26.58
2025-11-05,2025-10,4,2025-11-02,21.75
2025-12-03,2025-11,4,2025-11-30,23.64
2026-01-07,2025-12,5,2026-01-04,29.86
