# For schema, see schema_2.txt
report_date,for,weeks,period_end_date,net_sales
2022-08-31,2022-08,4,2022-08-28,17.55
2022-10-05,2022-09,5,2022-10-02,21.46
2022-11-02,2022-10,4,2022-10-30,17.73
2022-11-30,2022-11,4,2022-11-27,19.17
2023-01-05,2022-12,5,2023-01-01,23.80
2023-02-01,2023-01,4,2023-01-29,16.84
2023-03-02,2023-02,4,2023-02-26,17.06
2023-04-05,2023-03,5,2023-04-02,21.71
2023-05-03,2023-04,4,2023-04-30,17.85
2023-06-01,2023-05,4,2023-05-28,18.45
2023-07-06,2023-06,5,2023-07-02,22.86
2023-08-02,2023-07,4,2023-07-30,17.60
2023-08-30,2023-08,4,2023-08-27,18.42
2023-10-04,2023-09,5,2023-10-01,22.75
2023-11-01,2023-10,4,2023-10-29,18.53
