ticker, fund, expense ratio in bps, asof
SPY, SPDR S&P 500 fund, 9.45, 20221208
IVV, iShares core S&P 500 fund, 4,
VOO, Vanguard S&P 500 ETF, 3, 20221208
FUSVX, Fidelity's S&P 500 fund, 5,
VTI, Vanguard Total Stock Market ETF, 3, 20220609
VWO, Vanguard FTSE Emerging Markets ETF, 12, 20190226
VTWO, Vanguard Russell 2000 ETF, 10, 20200225
IWM, iShares Russell 2000 ETF, 19, 20200225
VONG, Vanguard Russell 1000 Growth ETF, 8, 20200225
IWF, iShares Russell 1000 Growth ETF, 19, 20200225
EEM, iShares MSCI Emerging Markets ETF, 68, 20200225
QQQ, "Invesco QQQ Trust, Series 1", 20, 20230315
QQQM, Invesco NASDAQ 100 ETF, 15, 20230315
