ticker, link
VOO, https://investor.vanguard.com/etf/profile/voo
VTI, https://investor.vanguard.com/etf/profile/vti
VWO, https://investor.vanguard.com/etf/profile/VWO
VONG, https://investor.vanguard.com/etf/profile/VONG
VTWO, https://investor.vanguard.com/etf/profile/VTWO
VGT, https://investor.vanguard.com/investment-products/etfs/profile/vgt
IWM, https://screener.fidelity.com/ftgw/etf/goto/snapshot/keyStatistics.jhtml?symbols=IWM
IWF, https://screener.fidelity.com/ftgw/etf/goto/snapshot/keyStatistics.jhtml?symbols=IWF
EEM, https://screener.fidelity.com/ftgw/etf/goto/snapshot/keyStatistics.jhtml?symbols=EEM
FTEC, https://digital.fidelity.com/prgw/digital/research/quote/dashboard/summary?symbol=FTEC
QQQ, https://www.invesco.com/us-rest/contentdetail?contentId=3a48e01e98630410VgnVCM10000046f1bf0aRCRD
QQQM, https://www.invesco.com/us/financial-products/etfs/product-detail?audienceType=Investor&productId=ETF-QQQM
SCHD, https://www.schwabassetmanagement.com/resource/schd-fact-sheet
IYW, https://www.ishares.com/us/products/239522/ishares-us-technology-etf
