# links to investor relations websites of various companies.
ticker, website
AAPL, http://investor.apple.com/
AMZN, http://phx.corporate-ir.net/phoenix.zhtml%3Fc%3D97664%26p%3Dirol-irhome
BLK, http://ir.blackrock.com/
CMG, http://ir.chipotle.com/
COST, http://phx.corporate-ir.net/phoenix.zhtml?c=83830&p=irol-irhome
CPRT, https://www.copart.com/investorrelation/
FB, https://investor.fb.com/
GE, https://www.ge.com/investor-relations/overview
GOOG, https://abc.xyz/investor/
HPQ, http://h30261.www3.hp.com/
INTC, https://www.intc.com/
MSFT, https://www.microsoft.com/en-us/investor/
NFLX, https://ir.netflix.com/
NPK, https://www.gopresto.com/information/financial/index.php
ORCL, http://investor.oracle.com/events-and-presentations/default.aspx
TWTR, https://investor.twitterinc.com/
WMT, http://stock.walmart.com/
