ticker, asof, revenue
COST, 2011-11-20, 2.1628e10
COST, 2012-02-12, 2.2967e10
COST, 2012-05-06, 2.2324e10
COST, 2012-09-02, 3.2218e10
COST, 2012-11-25, 2.3715e10
COST, 2013-02-17, 2.4871e10
COST, 2013-05-12, 2.4083e10
COST, 2013-09-01, 3.2487e10
COST, 2013-11-24, 2.5017e10
COST, 2014-02-16, 2.6306e10
COST, 2014-05-11, 2.5794e10
COST, 2014-08-31, 3.5523e10
COST, 2014-11-23, 2.6866e10
COST, 2015-02-15, 2.7454e10
COST, 2015-05-10, 2.6101e10
COST, 2015-08-30, 3.5778e10
COST, 2015-11-22, 2.7220e10
COST, 2016-02-14, 2.8170e10
COST, 2016-05-08, 2.6769e10
COST, 2016-08-28, 3.6560e10
COST, 2016-11-20, 2.8099e10
COST, 2017-02-12, 2.9766e10
COST, 2017-05-07, 2.8860e10
COST, 2017-09-03, 4.2300e10
TWTR, 2012-09-30, 8.233e7
TWTR, 2012-12-31, 1.1225e8
TWTR, 2013-03-31, 1.1434e8
TWTR, 2013-06-30, 1.3929e8
TWTR, 2013-09-30, 1.6858e8
TWTR, 2013-12-31, 2.4268e8
TWTR, 2014-03-31, 2.5049e8
TWTR, 2014-06-30, 3.1217e8
TWTR, 2014-09-30, 3.6127e8
TWTR, 2014-12-31, 4.7908e8
TWTR, 2015-03-31, 4.35939e8
TWTR, 2015-06-30, 5.02383e8
TWTR, 2015-09-30, 5.69237e8
TWTR, 2015-12-31, 7.10473e8
TWTR, 2016-03-31, 5.94521e8
TWTR, 2016-06-30, 6.01958e8
TWTR, 2016-09-30, 6.15934e8
TWTR, 2016-12-31, 7.17206e8
TWTR, 2017-03-31, 5.48251e8
TWTR, 2017-06-30, 5.73855e8
TWTR, 2017-09-30, 5.89633e8
