date,symbol,sharesOutstanding
20180226,UIS,50639210
20181005,A,318769547
20181005,AAL,460509216
20181005,AAP,74081258
20181005,AAPL,4829926000
20181005,ABBV,1514272698
20181005,ABC,216356644
20181005,ABMD,44877160
20181005,ABT,1754319284
20181005,ACN,639900000
20181005,ADBE,488133527
20181005,ADI,371669966
20181005,ADM,559737398
20181005,ADP,437439841
20181005,ADS,54943591
20181005,ADSK,218616633
20181005,AEE,244039980
20181005,AEP,492934058
20181005,AES,661683466
20181005,AET,327400000
20181005,AFL,767800258
20181005,AGN,339444422
20181005,AIG,888446269
20181005,AIV,157351428
20181005,AIZ,62488122
20181005,AJG,182612000
20181005,AKAM,169504628
20181005,ALB,108449763
20181005,ALGN,80320082
20181005,ALK,123144939
20181005,ALL,346232355
20181005,ALLE,95003313
20181005,ALXN,222859148
20181005,AMAT,982990521
20181005,AMD,974872409
20181005,AME,231897163
20181005,AMG,53431948
20181005,AMGN,647272067
20181005,AMP,141863852
20181005,AMT,440835058
20181005,AMZN,487741189
20181005,ANET,74823689
20181005,ANSS,84297814
20181005,ANTM,259953678
20181005,AON,242655343
20181005,AOS,170606591
20181005,APA,382485953
20181005,APC,512075063
20181005,APD,219272496
20181005,APH,300352562
20181005,APTV,264737985
20181005,ARE,105757371
20181005,ARNC,482954718
20181005,ATVI,762408587
20181005,AVB,138218728
20181005,AVGO,413446755
20181005,AVY,87418042
20181005,AWK,180492198
20181005,AXP,861054250
20181005,AZO,25742000
20181005,BA,574508314
20181005,BAC,9985833114
20181005,BAX,534266043
20181005,BBT,774446877
20181005,BBY,274557555
20181005,BDX,267563574
20181005,BEN,527058253
20181005,BF.B,105601443
20181005,BHF,119782668
20181005,BHGE,1099394640
20181005,BIIB,201442850
20181005,BK,999944587
20181005,BKNG,47472026
20181005,BLK,160550535
20181005,BLL,343911434
20181005,BMY,1631876909
20181005,BR,116501013
20181005,BRK.B,1304592522
20181005,BSX,1382924777
20181005,BWA,208867302
20181005,BXP,154419806
20181005,C,2516605412
20181005,CA,418165884
20181005,CAG,391645253
20181005,CAH,299864949
20181005,CAT,594325388
20181005,CB,463258917
20181005,CBOE,111818750
20181005,CBRE,339798242
20181005,CBS,376032500
20181005,CCI,414839956
20181005,CCL,725174680
20181005,CDNS,282808000
20181005,CELG,703363010
20181005,CERN,329004371
20181005,CF,233468663
20181005,CFG,475946441
20181005,CHD,245407957
20181005,CHRW,138544499
20181005,CHTR,231863932
20181005,CI,243364579
20181005,CINF,162652281
20181005,CL,867738696
20181005,CLX,127690272
20181005,CMA,171399203
20181005,CMCSA,4581933382
20181005,CME,340609929
20181005,CMG,27804105
20181005,CMI,163311209
20181005,CMS,283265427
20181005,CNC,205256671
20181005,CNP,501188880
20181005,COF,478425026
20181005,COG,441177384
20181005,COL,164365741
20181005,COO,49139682
20181005,COP,1162095308
20181005,COST,438602000
20181005,COTY,750804022
20181005,CPB,300656129
20181005,CPRT,233916190
20181005,CRM,756700000
20181005,CSCO,4571334136
20181005,CSX,858810557
20181005,CTAS,106977744
20181005,CTL,1080123279
20181005,CTSH,580233834
20181005,CTXS,135658446
20181005,CVS,1018063785
20181005,CVX,1916147100
20181005,CXO,200263524
20181005,D,653765671
20181005,DAL,691331319
20181005,DE,321673523
20181005,DFS,342658270
20181005,DG,265534401
20181005,DGX,136666678
20181005,DHI,377068508
20181005,DHR,699754843
20181005,DIS,1487242596
20181005,DISCA,522424063
20181005,DISCK,522424063
20181005,DISH,467516301
20181005,DLR,215921590
20181005,DLTR,237888437
