Date,Open,High,Low,Close
2021-05-18,4165.94,4169.15,4125.99,4127.83
2021-05-19,4098.45,4116.93,4061.41,4115.68
2021-05-20,4121.97,4172.80,4121.97,4159.12
2021-05-21,4168.61,4188.72,4151.72,4155.86
2021-05-24,4170.16,4209.52,4170.16,4197.05
2021-05-25,4205.94,4213.42,4182.52,4188.13
2021-05-26,4191.59,4202.61,4184.11,4195.99
2021-05-27,4201.94,4213.38,4197.78,4200.88
2021-05-28,4210.77,4218.36,4203.57,4204.11
2021-06-01,4216.52,4234.12,4197.59,4202.04
2021-06-02,4206.82,4217.37,4198.27,4208.12
2021-06-03,4191.43,4204.39,4167.93,4192.85
2021-06-04,4206.05,4233.45,4206.05,4229.89
2021-06-07,4229.34,4232.34,4215.66,4226.52
2021-06-08,4233.81,4236.74,4208.41,4227.26
2021-06-09,4232.99,4237.09,4218.74,4219.55
2021-06-10,4228.56,4249.74,4220.34,4239.18
2021-06-11,4242.90,4248.38,4232.25,4247.44
2021-06-14,4248.31,4255.59,4234.07,4255.15
2021-06-15,4255.28,4257.16,4238.35,4246.59
2021-06-16,4248.87,4251.89,4202.45,4223.70
2021-06-17,4220.37,4232.29,4196.05,4221.86
2021-06-18,4204.78,4204.78,4164.40,4166.45
2021-06-21,4173.40,4226.24,4173.40,4224.79
2021-06-22,4224.61,4255.84,4217.27,4246.44
2021-06-23,4249.27,4256.60,4241.43,4241.84
2021-06-24,4256.97,4271.28,4256.97,4266.49
2021-06-25,4274.45,4286.12,4271.16,4280.70
2021-06-28,4284.90,4292.14,4274.67,4290.61
2021-06-29,4293.21,4300.52,4287.04,4291.80
2021-06-30,4290.65,4302.43,4287.96,4297.50
2021-07-01,4300.73,4320.66,4300.73,4319.94
2021-07-02,4326.60,4355.43,4326.60,4352.34
2021-07-06,4356.46,4356.46,4314.37,4343.54
2021-07-07,4351.01,4361.88,4329.79,4358.13
